idade,genero,existe_alguma_rua_em_fortaleza_em_que_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
43,Masculino,"Aquela perimetral ali, eu acho que ali, aquela perimetral ali, acho que não tem ainda, né? Lá você gostaria que tivesse? Isso é!",Exercício e saúde; Praticidade e conveniência; Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,Não
53,Masculino,"Aqui eu tive... Só... eu acho que ela vai para o paraíso mesmo, tem que ser só uns pedacinhos",Custo \ É mais barato; Praticidade e conveniência; Mais fácil,,Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia,,,Não
40,Feminino,"Não, até o momento que eu me lembro não.",Única opção,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,,,Não
18,Masculino,"Boa chance. Abulefa A3. Seria muito bom se tivesse uma ciclovia ali, velho.",Praticidade e conveniência; Custo \ É mais barato; Segurança no trânsito,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",,Não
51,Masculino,Pela E-Brasil. Pela E-Brasil.,Rapidez \ Tempo,,Falta de ciclovias,,,Não
52,Masculino,"Principal aqui, muitos, né? Muitos. Muitos, com certeza. Principalmente essa aqui da Castelo de Caça, saindo direto até o Castelão. A Valparaíso tem, agora pra pegar a BS-116 de Larra não tem, pra sair já a próxima pega o metal, não tem.",Exercício e saúde; Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por uma moto ou por um carro"
46,Masculino,pré-metral,Custo \ É mais barato;Segurança no trânsito,,Desrespeito dos motoristas ou Trânsito,,,Não
41,Feminino,"Não, é porque o meu trajeto é esse, Castelão, município de São João. Pra mim tá bom. Assim, tá bom.",Praticidade e conveniência; Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por uma moto ou por um carro"
24,Masculino,"Para mim, todas. Por aqui tu lembra o nome de alguma? O nome é Cachalho de Castro ali.",Rapidez \ Tempo; Mais fácil,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por uma moto"
29,Masculino,"Só essa mesmo. Só essa aqui, né? Eu uso bastante essa aqui e daqui pra lá, lá pro Pátio do Castelão.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia,,,Não
52,Masculino,"São muitas ruas, né? Principalmente nas vias que acessam o centro, né? Aldeia Ota, né? Tá precisando ainda de mais ciclovia, né? Por aqui você lembra o nome de alguma cidade específica? Por aqui eu vejo a necessidade na avenida Praimitral.",Exercício e saúde; Rapidez \ Tempo,"Não é possível classificar a resposta com base no texto fornecido, pois ele afirma explicitamente que não contém informações sobre há quanto tempo o respondente utiliza a bicicleta.",Desrespeito dos motoristas ou Trânsito,,,Não
26,Feminino,"Que eu lembre agora, não. Mas com certeza tem, né?",Rapidez \ Tempo; Custo \ É mais barato,"Não é possível classificar a resposta com base no texto fornecido, pois ele afirma explicitamente que não contém informações sobre há quanto tempo o respondente utiliza a bicicleta.",Desrespeito dos motoristas ou Trânsito,,,"Sim, por uma moto"
56,Feminino,Não.,Rapidez \ Tempo; Praticidade e conveniência,Não há informações suficientes para classificar a resposta em nenhum dos itens fornecidos.,Desrespeito dos motoristas ou Trânsito; Machismo e desrespeito,,,Não
,Masculino,"Não, só aqui mesmo.",Praticidade e conveniência; Preferência pessoal,Não disponível,Falta de ciclovias,,,Não
45,Masculino,"Palmeira. No Ponte de Palmeiras? Tem não. Lá você acha que não tem, queria que tivesse mais por lá? É bom, tem uma lá.",Exercício e saúde; Rapidez \ Tempo; Preferência pessoal,Não informado,Desrespeito dos motoristas ou Trânsito,,,Não
,Masculino,"Avenida Perimetral. Essa é recorrente. E a Raul Barbosa. Muito importante, tanto para nós ciclistas, como para os pais de família que vão trabalhar. Que vão para o seu trabalho, na sua bike, sua monarca, sua cargueira. E não tem como eles utilizarem, porque não tem espaço para a gente. Totalmente.",Exercício e saúde,Mais de 5 anos,Lixo na ciclovia; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
,Masculino,"Não consta no texto uma resposta específica sobre ruas em Fortaleza, pois o entrevistado informou que mora em Maracanaú.",Exercício e saúde,Entre 2 e 3 anos,Buracos na ciclovia,"Sim, tenho medo de acidentes",Não,"Não tenho informações suficientes para responder à consulta. O texto da célula indica que a transcrição foi interrompida antes do entrevistado responder à pergunta, impossibilitando a classificação entre as opções fornecidas."
55,Masculino,"É bom, né? Tem alguma que o senhor lembra de cabeça? Não, não. De cabeça não, né? Mas é bom que tenha mais. É.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Sim,Não
58,Masculino,Que terminasse a ciclovia da Casta de Castro.,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
44,Masculino,Esse é o lado que eu frequento mais. Que avenida mesmo é essa? É Castro... alguma coisa. Mas é o... Meu Deus do céu.,Exercício e saúde; Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",,Não
24,Masculino,"Tem um percurso da Oliveira Paiva que é a ponte que fica entre a Oliveira Paiva, tipo a ciclovia finaliza quando chega na ponte e ela encerra e não tem, aí a gente tem que tá dividindo com os carros.",Exercício e saúde; Única opção,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito;Falta de ciclovias;Sinalização inadequada,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
42,Masculino,"Eu gostaria que vocês ajeitassem essa daqui direto aqui, ó. Direto, né? É que daqui é boa, mas tá só escutando a caixa. Certo. Quando chove é muita água. Então, aqui empolsa muito também? Empolsa muito, já empenei até meu ar já, hein? Entendi. Eu caí dentro do buraco.",Rapidez \ Tempo,Mais de 5 anos,Falta de ciclovias;Buracos na ciclovia,,Não,Não
44,Masculino,"A nossa aqui, né? Que tem muita gente que não tem. É completar ela, né? Ela é só pela metade.",Praticidade e conveniência,Não informado,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
70,Masculino,"Essa rua aqui mesmo, essa avenida assim, que é a principal. A Castelo Castilva, né?",Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito;Falta de ciclovias,"Sim, tenho medo de acidentes",Sim,Não
52,Masculino,"Sim, tem, só que eu não conheço ainda. Não lembra de... Essa aqui, né? Essa aqui, essa. Que termina bem ali e não continua. Isso.",Rapidez \ Tempo; Custo \ É mais barato; Mais fácil,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não
31,Masculino,"Tá, tem um bocado, né?",,Mais de 5 anos,Buracos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
56,Feminino,"Na Perimetral, em sentido, você ir pra Mercejana... Por mais que aqui seja um bairro que está sendo comercial, mas Mercejana também é, tem coisas que não tem aqui e a gente quer ir para lá. E aí não tem a ciclofaixa? Não tem.",Exercício e saúde; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,Não
28,Masculino,"Rapaz, essa daqui começaram e não terminaram, né? Essa aqui é a castela de coxas.",Exercício e saúde; Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
,Masculino,Eu juro que não tem. Não arranjei nada. Não arranjei nada. Não arranjei nada não.,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,,Não,Não
,Masculino,"Não, acho que poderia melhorar muitas coisas, né? Mas tá bom do jeito que tá, né? Tá bom.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,"Sim, por uma moto ou por um carro"
57,Masculino,O texto fornecido não contém informações sobre ruas específicas onde o entrevistado gostaria de ver uma ciclovia.,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito;Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por um carro"
48,Masculino,"Ah, essa aqui. Essa daqui é a mais fácil. É essa aqui direto que é derrota todo dia. Tá. Entendi. A Castela de Castro, tá.",,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",,Não
34,Masculino,"O texto não apresenta uma resposta direta mencionando uma rua específica, mas o trecho correspondente à pergunta é: Tipo assim, né? Tá sendo mais melhor, né? Porque antigamente não tinha mais nada, né? Agora tá sendo mais fácil, né? Porque o que eu faço de bicicleta não existia, a gente tinha que passar por meio dos carros. Aí isso tornava mais perigoso, né? Agora tá mais melhor, eu tô achando. Mas era pra ficar mais melhor ainda, né?",Praticidade e conveniência; Preferência pessoal,Não disponível,Invasão de carros ou motos na ciclovia;Risco de acidentes,,,Não consta informação na resposta
37,Masculino,"Várias. Alguma que lembre de cabeça? Não. Agora é difícil, né?",Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
32,Masculino,"Essa avenida aqui mesmo, a Caxela do Cacho, que não terminaram ainda, não concluíram. Fazer até o final da Caxela do Cacho? É, até o final dessa.",Exercício e saúde; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
,Masculino,Lembro não.,Preferência pessoal,Não é possível classificar,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,Não
35,Feminino,"Até agora que eu tô vendo tá tudo bem até aqui, mas seria bom também limpar a banda da Messejana, que tem poucas. Tem mais pra lá, né? Tem poucas áreas lá. Entendi. Seria bom botar lá também. Aceito.",Exercício e saúde; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",,Não
12,Masculino,"É, nessa rua aqui, botando uma ciclofaixa, porque as vezes essa parte aqui que é o... Tipo lá na frente, lá na frente essa ciclofaixa aqui acaba, aí é ruim porque os carros ficam passando bem pertinho.",Exercício e saúde; Praticidade e conveniência,Mais de 5 anos,Falta de ciclovias e Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Não;Sim, por uma moto"
21,Masculino,Perimetral.,Praticidade e conveniência; Preferência pessoal,Mais de 5 anos,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,"Sim, mas não especifica qual meio"
23,Masculino,"Agora de cabeça eu não lembro não. Mas tem, né? Tem que ter mais.",Praticidade e conveniência; Preferência pessoal,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",Sim,Não
,Feminino,"Sim. Essa... Quando a gente é ali por... com a Messejana, que eu tenho medo daqueles... pra ir pra... pra feira da Messejana, talvez subir aqui até a turma. Aí eu acho que era bom ter um encanto mais seguro que isso custa.",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro"
47,Masculino,"Assim, eu não... porque eu sempre faço o mesmo percurso. E ainda o seu percurso tem. Isso. Já outro percurso que eu fiz também tinha, que era de sentido igual até mim e sempre teve, né? Mas tem uns que não tenho. Entendi. Mas de cabeça não consegue lembrar agora, né? Eu trabalho de motorista, eu ando por aí e vejo.",Exercício e saúde; Rapidez \ Tempo; Custo \ É mais barato; Segurança no trânsito,Mais de 5 anos,Nenhum ou Nenhum problema enfrentado,,,Não
58,Feminino,"No caso do... Aqui não tem, né? É, aqui não tem. Na Castelo de Castro não tem. Na Castelo de Castro não tem. Por exemplo, eu vou pelo Santa Maria, que saiu lá na BR-116, aí depois que eu pego a BR-116, aí quando eu chego na Oliveira Pávia já tem. Então lá não tem, porque é mais perto pra mim, por aqui fica muito longe. Aí eu gostaria que lá tivesse, ó, naval paraíso tem, só quando chega naval paraíso aí acaba, pra sair na BS-116, se tivesse seria ótimo.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
35,Masculino,"Onde a gente vai tem, que eu conheço não, todos tem.",Exercício e saúde,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
32,Feminino,"Eu acho que ali na Perimentral, né, Rito? Perimentral, é. A gente sempre vai ali, é muito perigoso.",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
6,Masculino,"Eu vou só por aqui mesmo. Aí aqui tem, né?",Rapidez \ Tempo,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
43,Masculino,"A Castelo de Castro, não é? Certo, continuar aqui. Tá bom. Mais alguma? Além dessa? Tá aqui a Perimental ali. É, também não tem, né? A gente fala, né? Pronto, é isso,",Exercício e saúde,Não disponível,Falta de ciclovias,Não,Não,"Sim, por uma moto ou por um carro"
29,Masculino,"Essa aqui, desse lado.",Praticidade e conveniência; Mais fácil,Mais de 5 anos,Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
34,Masculino,É... Acho que... Eu tenho um bocado ainda.,Rapidez \ Tempo; Praticidade e conveniência; Mais fácil,Mais de 5 anos,Buracos na ciclovia;Falta de ciclovias,"Sim, tenho medo de acidentes",,Não
51,Feminino,"Eu não me lembro assim de cabeça, mas tem muitos, muitos pontos. Muitos mesmo. Quanto mais melhor, né? Quanto mais melhor.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",Sim,Não
53,Masculino,"Rapaz... Pro lado da Parangá, poucas ruas têm.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,Não
