idade,genero,existe_alguma_rua_em_fortaleza_em_que_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
21 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ter ciclovia? Não. Todos os cantos em Fortaleza deveriam ter, né? Pelo céu? Sim. Mas pelos locais que você anda, já tem. Já tem.",Exercício e saúde,,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não
39,Feminino,"Sim, principalmente na faixa de onde passam os colégios e tem muita movimentação na hora de pegar a criança e de deixar.",Rapidez \ Tempo; Segurança no trânsito,Mais de 5 anos,Sinalização inadequada,"Sim, tenho medo de acidentes",Não,Não
13 anos,Feminino,"E existe alguma rua aqui em Fortaleza que você gostaria que tivesse que ouvir? Não, eu não conheço muito aqui, que eu moro há pouco tempo.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
37 anos,Masculino,"Não sei, eu não ando muito, só aqui mesmo na escola. Só localmente, né?",Exercício e saúde,,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não
32 anos,Masculino,"Eu gostaria que, pensando aqui onde eu moro, que o restante da... da Ministerral, do 3º Terminal, do Antônio Bezerra, até pelo menos a ponte, a rodoviária, tivesse ciclovisse e ciclofaixa também.",Exercício e saúde;Custo \ É mais barato;Praticidade e conveniência,Entre 2 e 3 anos,Má qualidade das ciclovias; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
55 anos,Masculino,Existe algum ângulo que você gostaria de ter uma ciclovia? Eu vou morar hoje.,Rapidez \ Tempo,Mais de 5 anos,Buracos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma bicicleta melhor"
28 anos,Feminino,"Existe alguma rua que você gostaria de ver uma ciclovia? Sim. Podia até ser essa daqui, essa daqui era o detalhe do. Socoleta, da Popsicle.",Rapidez \ Tempo; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não
35 anos,Masculino,"E existe aqui alguma rua em Fortaleza. Que você gostaria que tivesse uma ciclovia? Alguma específica aqui no bairro? Aqui tá muito bom de ciclovia, né? Mas. Essas ruas paralelas também, às vezes, não dá nem ter corrição, porque é muito estreita, né? Mas essa localização aqui era bom ter uma ciclovia, pelo menos. Tem colégio.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por um carro"
56,Masculino,"A ciclovia é boa, a que botaram ali. Mas eu queria mais ainda que pelo menos quando você vê na sua mão. Certa, Aqui na rua da escola, por exemplo? Não tem, hein? Não tem essa que eu via. A estrada aqui é ruim. Você vê como é que tá a estrada aí. Não é só aqui não, tem canto de outros cantos aí. Lá em casa, que eu moro na Rio e eu tava aqui, em Jardim Guanabara, a minha rua é só na pedra. O asfalto tá feio demais, entendeu?",Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, mas não especifica qual meio"
53 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclofaixa ou ciclovica e ainda não tem? Na. Verdade por onde eu ando tem, né? Não. Sei informar sempre onde eu ando tem, né?",Exercício e saúde;Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, mas não especifica qual meio"
47,Feminino,"Existe alguma rua que você gostaria de ter ciclovia? aqui no entorno. Não, isso aqui seria uma boa, essa rua aqui, por causa do colégio, né? Tem muito aluno que tem bicicleta, né? Ando, vai pro colégio de bicicleta, é o transporte.",Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
16,Masculino,"Existe alguma rua e fortaleza que você gostaria que tivesse? Ciclovia, Ciclopátia? Só Misterral. Misterral. Show de bola. Valeu. Obrigadão, viu?",Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,
16,Feminino,Existe algum rumo em Fortaleza que tu gostaria que tivesse uma cifra baixa?,Praticidade e conveniência;Mais fácil,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
51 anos,Masculino,"E existe alguma rua que você gostaria de ter ciclovia? Hoje. Em dia, as principais aqui no bairro aqui estão todas com ciclovia, está ótimo.",Exercício e saúde,Mais de 5 anos,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por um carro"
