idade,genero,existe_alguma_rua_em_fortaleza_em_que_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
17 anos,Masculino,"E tem alguma rua de Fortaleza que tu passa todo dia, que não tem ciclofaixa? Mas que tu acha que deveria ter? Se for fácil, se for difícil. É, se for fácil, se for difícil. É que eu só vou por aqui, na praia. Entendi. Então, beleza. Poderia ter ali na rua, ali na Antônio Justo.",Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Calor ou clima,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro"
29 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Praticidade e conveniência,Entre 2 e 3 anos,Outros obstáculos na ciclovia,Não,Não,"Sim, por uma moto"
50 anos,Masculino,Tem alguma rua em Fortaleza que você gostaria de ver uma ciclovia? Uma que ainda não tenha? Eu acho que essa aqui deveria ter uma continuação. Entendi. Que na vigília. Mas aí pra lá não tem nada. Entendi.,Exercício e saúde; Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro
Não"
48 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Não,Não,"Sim, por uma moto ou por um carro"
17 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Rapidez \ Tempo; Exercício e saúde; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro"
33,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.
Aperimental.",Exercício e saúde; Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro"
49 anos,Feminino,"Poderia ter ali na rua, ali na Antônio Justo.
Principalmente ali na região que eu moro, no Coripe, por exemplo, não tem. E ali, na Avenida Jangadeiro, na Bambuída e Vinda, sendo que ali é muito difícil devido ao espaço, né? Sim. Mas assim, é o final a alguma coisa. da janadeira que dá para o campo terremoto e da um mirante ali, é terrível.",Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Preferência pessoal,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro"
17 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro"
46 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.
A Francisco Sá, né, amor? Mas é muito apertado. Não sei se dá pra fazer.",Única opção,Menos de um ano,Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, por uma moto ou por um carro"
38,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,Não
28 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Exercício e saúde; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Sim,Não
30 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Preferência pessoal; Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro"
