idade,genero,existe_alguma_rua_em_fortaleza_em_que_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
29,Masculino,"E existe alguma rua que tu gostaria de ver uma ciclovia? Uma rua, vixi, que não tem ainda? No caso que for, talvez, né? É melhor melhorar os buracos, né? Gostar da manutenção? É, tem buraco, tem demais buraco.",Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito;Buracos na ciclovia;Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não
29,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ver? Ciclovias, ciclofaixa, alguma rua que você passa que tem? A ciclovia da Godofredo. Você passa por lá e é muito bom.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
39,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ver assim uma ciclofaixa, uma ciclovia, que você anda e não tem, você queria que tivesse? Eu acho que aqui, eu moro aqui no Montese, eu acho que não, tá tudo normal, tudo beleza.",Praticidade e conveniência;Mais fácil,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
65,Masculino,"E existe alguma rua que tu anda aqui que não tem ciclofaixa, ciclovia, que tu gostaria que tivesse? Aqui nessa que tem na placa lá, vai lá. Nessa rua daqui, a Gomes de Matos.",Rapidez \ Tempo;Preferência pessoal;Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito;Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não
21,Masculino,"E existe alguma rua que tu anda que não tem a ciclovia, ciclofaixa, que tu queria que tivesse? Não, todas eu ando só em ciclovia assim, com faixa. Aqui tá tudo tranquilo? Tá tudo tranquilo, tranquilo.",Única opção,Entre 3 e 5 anos,Má qualidade das ciclovias;Desrespeito dos motoristas ou Trânsito;Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
32,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ter ciclofaixa, ciclovia assim, você usa e não tem, e você queria que tivesse? Não sei, poderia ter mais, né, ciclofaixa, né? Não sei. Não sabe onde teria não? Onde você anda tá? Tem? Tá certo.",Rapidez \ Tempo;Praticidade e conveniência,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
,Masculino,"Existe alguma rua de Fortaleza que você anda e que você queria que tivesse ciclofaixa, ciclovia? Tipo assim, hoje eu tô nesse movimento agora, né, só é pro trabalho e pra casa, aí não tem outro sinal. Então tá tranquilo também? Tranquilo.",Rapidez \ Tempo,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito;Invasão de carros ou motos na ciclovia,,Sim,Não
76,Masculino,"E existe alguma rua que não tem ciclovia ou ciclofaixa que tu queria que tivesse? Não, eu não sei. Por aqui não? Não, eu não sei onde é não.",Praticidade e conveniência;Mais fácil,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito;Falta de ciclovias,Não,Não,Não
19,Masculino,"Existe alguma rua de Fortaleza que você anda que você queria que tivesse ciclofaixa, ciclovia, alguma rua assim que você— Lá na Avenida do Aeroporto. Avenida do Aeroporto, né?",Custo \ É mais barato,Mais de 5 anos,Buracos na ciclovia,Não,Sim,Não
50,Masculino,"E existe alguma rua aqui que não tem a ciclovia? Via, você qual faixa que você queria que tivesse aqui? Não, aqui no meu perto do meu trabalho não, aqui tá tranquilo.",Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
25,Masculino,"Na minha opinião, poderia estar em Fortaleza toda, né? Sim, melhorar ali sempre, sempre a gente. Ponto de referência assim, perto do shopping, do lado do Parangaba. Pronto, do lado do Terminal do Parangaba. Pronto, é bom ter mais ali, além de frente o terminal mesmo.",,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito,,Sim,"Sim, por uma moto"
70,Masculino,"Por exemplo, olha aqui, para mim não ir na contramão, na faixa de, para mim não ir na contramão, eu podia entrar lá. Por quê? Porque eu pegava um tantão que eu pegava ali e saía lá na via do aeroporto já. Se tivesse uma maneira de eu não ir, mas por quê? Porque é contramão. Entendi. Eu vou contramão. Às vezes, eu sábado, não vou mentir, no sábado, como sábado é bastante trânsito. Qual é o nome da via? Qual é o nome da via? É essa, essa que sai aqui na Expedicionário, vem lá do Novo Aeroporto, passa pela essa do deputado, eu não lembro qual o nome dele, que é muito conhecida aqui em Montes, e é nova, né? Aí você passa por ali, é mão legal, dá certo, mas na volta não dá. Tentei uma volta, aí eu tenho que ir contra mão. Não faço possível não, não é contra mão. Mas aí quando não dá, aí eu ajeito. Às vezes eu faço no sábado, porque no sábado é mais tranquilo.",Rapidez \ Tempo;Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito;Invasão de carros ou motos na ciclovia,,Sim,"Sim, mas não especifica qual meio"
43,Masculino,"E tem alguma rua que anda que não tem infraestrutura, não tem ciclovia, ciclofaixa que tu gostaria que tivesse? Não, eu já tenho a minha rota certa, né? Tá a rota que eu já conheço, a rota certa, e é muito bem calculada, ciclofaixa, ciclovia.",Rapidez \ Tempo;Segurança no trânsito,Mais de 5 anos,Invasão de carros ou motos na ciclovia;Outros obstáculos na ciclovia,Não,Não,Não
59,Masculino,"Alguma rua que tu anda não tem ciclovia, ciclofaixa? Que tu gostaria que tivesse? Não, não, que eu lembro agora não. Por ponto de referência, tipo, a parte daquele supermercado, não tem? Aqui no bairro já tá atendido? Aqui no bairro tá bem legal.",Custo \ É mais barato;Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito;Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
64,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclofaixa, uma ciclovia, que o senhor anda que não tem, aí o senhor queria que tivesse? Eu nunca peguei assim que não tem assim. Que eu não vou para longe, eu chego só por aqui, por esses bairros aqui, aí tem. Eu sei, e sempre tem.",Rapidez \ Tempo;Praticidade e conveniência,,Nenhum,Não,Não,"Sim, por uma moto ou por um carro"
55,Masculino,"E existe alguma rua que tu anda que não tem ciclovia, ciclofaixa, que tu queria que tivesse? No Montese tem. No Montese já tá bem assistido, né? Sim, sim, sim.",Exercício e saúde,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
48,Masculino,"Tem alguma rua que o senhor passa que não tem ciclovia, ciclofaixa, que o senhor queria que tivesse? Sim. Qual? Se o senhor lembrar, o senhor tem como— Não vem na mente, mas tem algumas aí que— Que agora esqueci, cara. Bairro próximo ali do Mercado dos Peões. Ali pelo Mercado dos Peões, então ali seria o centro, por ali. Tem algumas ruas que não tem, né?",Exercício e saúde;Rapidez \ Tempo;Custo \ É mais barato,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
65,Masculino,"E existe alguma rua que tu anda que não tem a ciclovia, ciclofaixa, e tu queria que tivesse? Rapaz, é muito difícil, né? Hoje tá quase desclopacho, né? Hoje tá bom. Acho que por aqui tá bem resolvido, tá resolvido já, tudo no centro, tanto na praia.",Rapidez \ Tempo;Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
49,Masculino,"E existe alguma rua que tu anda que não tem a ciclovia, ciclofaixa que tu queria que tivesse? É, tem uma, mas agora no momento a João Pessoa também, e tem outros ainda que eu me esqueci agora no momento. Qual bairro assim mais ou menos tu lembra? Que bairro, bairro? Quando pergunta assim fica difícil, né? É, fica um pouco difícil. Que bairro assim eu não... Entendi. Mas aqui então no Monte Azeite tem? Aqui no Monte Azeite tem, aqui tem uns bairros aqui que não tem a ciclovia, e era bastante bom para o pessoal andar mais.",Rapidez \ Tempo;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito;Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não
46,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse ciclopatias, que você anda e não tem, você queria ter? Agora não lembro. Tem canto que tem, mas é um pedacinho aqui, aí já lá na frente já falta.",Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito;Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",,"Sim, por uma moto"
52,Masculino,"E tem alguma rua que tu anda que não tem a ciclovia ou ciclofaixa que tu queria que tivesse? Gostaria muito. Depois do É ali na Godofredo Maciel, tá muito ruim de andar de bicicleta ali, fazer manutenção, cheio de buraco.",Segurança no trânsito,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
,Masculino,,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito;Buracos na ciclovia,,Sim,
58,Masculino,"Tem várias avenidas aí que não tem ciclovia. Alguma que tu quisesse que tivesse? Oi? Alguma rua que tu queria que tivesse e não tem? É, realmente tem várias ruas aí que a gente anda, né, muito imprensado, né. Sabe assim, lembrar alguma de cabeça agora? Ah, da The Brazil, por enquanto, no momento que agora é Silas Munguba, né. E outras que eu não lembro agora, mas tem várias, tem várias.",Exercício e saúde;Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito;Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
26,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ter ciclofaixa, ciclovia? Que tipo, o senhor anda e não tem, aí o senhor queria que tivesse? 15 de novembro.",Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
36,Feminino,"E existe alguma rua que tu anda que não tem infraestrutura que tu queria que tivesse? Assim, não tem ciclovia, não tem ciclofaixa? Serrinha. Ali na Bernard Manuel, que não tem.",Única opção,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito;Buracos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
65,Masculino,"Existe alguma rua em Fortaleza que o senhor anda que não tem, que o senhor queria que tivesse? Ciclofaixa, ciclovia assim que o senhor passa e não tem, e era bom se tivesse assim? João Pessoa, João Pessoa, isso é muito perigoso.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
40,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia? Não, que eu conheço não.",Praticidade e conveniência;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio"
39,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia? Não, obrigado.",,Mais de 5 anos,Nenhum,Não,Não,Não
29,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia? Ah, sim, principalmente as vias do centro, né, que são mais movimentadas. E aqui para aproximar da Parangaba também tem muitas vias que falta essa ciclofaixa, né.",Exercício e saúde;Custo \ É mais barato,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
42,Feminino,"Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia? Não, acho que conheço todos os trens já.",Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,"Sim, mas não especifica qual meio"
,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia? Eu só ando mais na ciclovia, né, que eu tenho medo. Se não tiver ciclovia, eu tenho medo de ser acidentado.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito;Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não
,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ver a ciclovia? Alguma rua? Sim, específico. Não sei.",,Mais de 5 anos,,Não,Não,Não
17,Masculino,"Existe algum ruivo em Fortaleza que você gostaria de ver uma ciclovia? Não, todos assim, para as que eu ando, tem sim, tem ciclovias.",Exercício e saúde,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
