idade,genero,existe_alguma_rua_em_fortaleza_em_que_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
40,Masculino,"Existe alguma rua em Fortaleza que você queria que tivesse uma ciclofaixa, que ainda não tem? Uma ciclovia? Na rua ali do... Esqueci o nome agora da rua. Tá. Tem algum ponto de referência aí que dá certo. Vai ao Paraíso.",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas;Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, mas não especifica qual meio"
60,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclovia, que ainda não tem? Com a rua, na Fernanditavros.",Exercício e saúde,Mais de 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio"
57,Masculino,"E existe alguma rua aqui em Fortaleza que o senhor gostaria de ver uma ciclovia? Ah, isso era ótimo, a Fortaleza era bom demais, né? Qual a rua? O senhor sabe? Bom, eu tô morando aqui, tá com 3 meses que eu moro ali, naquele conjunto novo, né? E agora que acabou de entregar, tá com 3 meses que eu tô morando lá. Lá não tem a ciclovia, o senhor quer que implante, né? Exatamente.",Praticidade e conveniência; Preferência pessoal,,,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio"
52,Masculino,"Existe alguma rua em Fortaleza que não tem ciclovia, ciclofaixa, que você gostaria que tivesse? Perimetral, começar com Marte aí. Até São Cristóvão.",Rapidez \ Tempo;Custo \ É mais barato,,Outros obstáculos na ciclovia; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Não,Não
35,Masculino,Existe alguma rua em Fortaleza Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia? Eu. Só ando daqui mesmo pra casa. Não saio pra longe. Não.,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas;Risco de acidentes,Não,Não,Não
44,Feminino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclovia, uma ciclofaixa, que ainda não tem ou que está muito ruim e que iria melhorar?",Rapidez \ Tempo;Praticidade e conveniência,Menos de um ano,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
37,Masculino,Tem alguma rua aqui em Fortaleza que você gostaria de ver com uma ciclovia? Pernambuco.,Rapidez \ Tempo; Praticidade e conveniência; Preferência pessoal,Entre 1 e 2 anos,Risco de acidentes;Desrespeito dos motoristas,Não,Não,Não
41,Feminino,"Existe alguma rua em Fortaleza que você gostaria que tivesse um seguro-faixa e que ainda não tem? Eu não conheço muito bem Fortaleza. Tá bom. Mas no seu caminho, seus caminhos já tem? Já. Tá bom.",Mais fácil,Entre 1 e 2 anos,Desrespeito dos motoristas,"Sim, tenho medo de acidentes",Não,Não
48,Masculino,"Eu gostaria muito de ver aqui na Silas Manguba, né? Porque lá é um trânsito muito apertado e não tem uma ciclovia. Geralmente a ciclovia vai daqui do Castelão e já vai acabando quando chega ali naquela parte do Banco do Nordeste. Eu gostaria muito de ver fazendo essa mão toda, né? Até embaixo.",Exercício e saúde; Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
25,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclofaixa? Essa que o senhor falou. Pronto, exatamente.",Custo \ É mais barato,,Falta de ciclovias;Má qualidade das ciclovias;Risco de acidentes;Desrespeito dos motoristas,"Sim, tenho medo de acidentes",Não,
