idade,genero,existe_alguma_rua_em_fortaleza_em_que_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
13,Masculino,Existe alguma rua em Fortaleza que tu queria que tivesse uma ciclofaixa?,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, mas não especifica qual meio"
A idade da pessoa não está mencionada no texto.,"O texto não fornece artigos, adjetivos, nomes ou pronomes explicitamente relacionados ao gênero da pessoa que está falando. No entanto, o pronome usado para se referir à terceira pessoa é ""o rapaz"" (masculino).","O texto não menciona explicitamente se a pessoa gostaria de ver uma ciclovia em alguma rua de Fortaleza. O trecho mais relevante sobre melhorias é: ""Colocar mais centros de repente pode melhorar, né? É, colocando mais centros melhoraria 100%, porque as pessoas às vezes não veem. Isso aí.""",,,Desrespeito dos motoristas ou Trânsito,,,Não
39 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse um acesso por avião, acesso por faixa? Ali na Avenida Beira-Mar, depois do viaduto. Ali não tem ciclofaixa, debaixo do viaduto. Quem vai sentindo, já sentindo o Beira-Mar. Tem uma parte que não tem, mas a parte já lá da frente tem. É só um pedaço. Eu acho que é pegar a parte do aquário, de lá pra cá, como se fosse pra feirinha.",Exercício e saúde;Praticidade e conveniência;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,
35 anos,Masculino,"Tem alguma rua em Fortaleza que você gostaria que tivesse alguma ciclovia ou ciclofaixa que ainda não tem? Não, onde eu andei tá tendo, né? Tá tendo.",Praticidade e conveniência,,,"Sim, tenho medo de acidentes",Não,Não
53 anos,Masculino,"E existe alguma rua aqui em Fortaleza que tu gostaria que tivesse uma ciclovia e não tem? Não, não, nenhuma não.",Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Risco de acidentes; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
18 anos,Masculino,Existe alguma rua em Fortaleza que você gostaria que tivesse ciclovias ou faixas? Não.,Preferência pessoal,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio"
56 anos,Masculino,"Tem alguma rua aqui em Fortaleza que você acha que deveria ter ciclovia, que hoje não tem, que tu queria sugerir? Acho que a mais eu ando é essa daqui, daqui pro mercado. Tem outra aqui? Não, não. Tem a Praia de Iracem, mas pra mim tá ótimo.",Exercício e saúde;Preferência pessoal;Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
37 anos,Feminino,"Existe alguma rua aqui em Fortaleza que tu gostaria que tivesse de explodir e não tem? Francisar. Não tem. Não tem, né? Não tem. Tu anda muito por lá? Não, evito por conta disso, porque não tem. É muito perigoso lá pra andar.",Rapidez \ Tempo;Praticidade e conveniência;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
52,Masculino,"E existe alguma rua de Fortaleza que tu passa e geralmente que tu acha que precisa de cicloplastia pra se ensaiar, né? Eu pego ali a Jatahí, Jatahí é boa. Aqui também de boa, né? A Jatahí até lá no trabalho é direto, cicloplastia. O trabalho ali perto do campo do Ceará, né?",Exercício e saúde; Praticidade e conveniência; Rapidez \ Tempo,Mais de 5 anos,Lixo na ciclovia,"Sim, tenho medo de acidentes",Sim,Não
A informação não está presente no texto.,Masculino,"O texto não contém o trecho exato que diga se a pessoa gostaria de ver uma ciclovia em alguma rua de Fortaleza. O áudio de demanda apenas informa que ""O ciclista pediu limpeza na Lexoes.""",Preferência pessoal,,Lixo na ciclovia,,,
