idade,genero,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia_agrupado,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_tem_alguma_sugestao_para_melhorar_a_qualidade_e_o_conforto_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
33,Masculino,Não especificado,NA,Exercício e saúde;Custo \ É mais barato,Lixo na ciclovia,Melhora de qualidade das ciclovias;Conscietização dos motoristas,Não
31,Masculino,João Pessoa,João Pessoa,Segurança no trânsito;Praticidade e conveniência,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,Melhora de qualidade das ciclovias,Não
48,Masculino,Augusto dos Anjos,Augusto dos Anjos,Exercício e saúde;Custo \ É mais barato,Buracos na ciclovia,Melhora de qualidade das ciclovias,Não
55,Masculino,Perimetral,Perimetral,Exercício e saúde;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito,Conscietização dos motoristas,"Sim, por uma bicicleta elétrica"
24,Masculino,João Pessoa e Silas Munguba,João Pessoa/Silas Munguba,Exercício e saúde;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito,Melhoria da fiscalização;Segurança pública,Não
53,Masculino,Canantabra,Canantabra,Única opção,Buracos na ciclovia; Lixo na ciclovia,Melhora de qualidade das ciclovias,"Sim, por uma bicicleta elétrica"
36,Masculino,Nenhuma em particular,NA,Praticidade e conveniência;Mais fácil,Desrespeito dos motoristas ou Trânsito,Conscietização dos motoristas;Melhoria da fiscalização;Segurança pública,Não
6,Feminino,Parquinho,Parquinho,Custo \ É mais barato;Exercício e saúde,Calor ou clima,,
48,Masculino,Avenida perto do Detran,Av perto do Detran,Rapidez \ Tempo;Praticidade e conveniência;Preferência pessoal,Buracos na ciclovia; Má qualidade das ciclovias,Melhora de qualidade das ciclovias,"Sim, por uma bicicleta melhor"
Desconhecida,Desconhecido,Desconhecida,NA,Exercício e saúde;Custo \ É mais barato,Não classificado/Desconhecida,,
54,Masculino,Toda cidade,Toda cidade,Preferência pessoal,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Má qualidade das ciclovias,Expansão das ciclovias,Não
58,Feminino,Não especificada,NA,Segurança no trânsito;Preferência pessoal,Desrespeito dos motoristas ou Trânsito,Conscietização dos motoristas;Melhoria da fiscalização,Não
38,Masculino,"Avenida Perimetral, Avenida Presidente Costa e Silva",Perimetral/Presidente Costa e Silva,Exercício e saúde;Custo \ É mais barato,Buracos na ciclovia; Má qualidade das ciclovias;Falta de ciclovias,Melhora de qualidade das ciclovias,Não
10,Masculino,Não se lembra,NA,Custo \ É mais barato;Exercício e saúde,Outros obstáculos na ciclovia,Conscietização dos motoristas;Segurança pública,Não
21,Masculino,Não especificada,NA,Exercício e saúde;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito,Conscietização dos motoristas;Segurança pública,Não
23,Masculino,João Pessoa,João Pessoa,Exercício e saúde;Custo \ É mais barato,Falta de ciclovias; Buracos na ciclovia,Melhora de qualidade das ciclovias,Não
34,Masculino,"Rua Maria Júlia, Rua S Machina",Maria Júlia/S Machina,Exercício e saúde;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito,Segurança pública;Melhoria da fiscalização;Conscietização dos motoristas,Não
53,Masculino,Não especificada,NA,Exercício e saúde;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias,Expansão das ciclovias;Limpeza das ciclovias;Conscietização dos motoristas,Não
14,Masculino,Não especificada,NA,Exercício e saúde;Custo \ É mais barato,Risco de acidentes; Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias;Conscietização dos motoristas,Não
26,Masculino,Avenida Osório de Paiva,Osório de Paiva,Praticidade e conveniência;Preferência pessoal,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,Melhora de qualidade das ciclovias;Conscietização dos motoristas,Não
55,Masculino,Zé Basta até o Max,Zé Basta/Max,Custo \ É mais barato;Exercício e saúde,Calor ou clima; Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia,Expansão das ciclovias,Não
38,Masculino,Carneiro de Mendonça,Carneiro de Mendonça,Exercício e saúde;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito,,"Sim, por uma moto"
